         1030043 function calls (1008679 primitive calls) in 7.531 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.035    0.002 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
       50    0.000    0.000    0.035    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2188(_get_tick_boxes_siblings)
      402    0.001    0.000    0.035    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1238(findfont)
      120    0.002    0.000    0.034    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:2419(_update_patch_limits)
    96/64    0.001    0.000    0.034    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:441(_get_bbox_and_child_offsets)
       16    0.000    0.000    0.033    0.002 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1356(get_tightbbox)
        2    0.000    0.000    0.033    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
   224/80    0.000    0.000    0.033    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:358(get_bbox)
       22    0.000    0.000    0.033    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:56(_blit)
       22    0.032    0.001    0.032    0.001 {built-in method matplotlib.backends._tkagg.blit}
       36    0.000    0.000    0.032    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
      204    0.001    0.000    0.032    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
        1    0.000    0.000    0.030    0.030 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:880(_start)
      400    0.001    0.000    0.029    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1308(_find_fonts_by_props)
        3    0.007    0.002    0.028    0.009 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1398(_findfont_cached)
      160    0.001    0.000    0.028    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:762(get_bbox)
4695/1781    0.011    0.000    0.027    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2450(get_affine)
        2    0.000    0.000    0.026    0.013 C:\Program Files\Python312\Lib\tkinter\__init__.py:2180(wm_iconphoto)
      400    0.025    0.000    0.025    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
6104/5202    0.002    0.000    0.023    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
    24/10    0.000    0.000    0.023    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
     23/9    0.000    0.000    0.023    0.003 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1160    0.001    0.000    0.022    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:924(get_bbox)
      990    0.001    0.000    0.022    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:94(draw_path)
       74    0.000    0.000    0.022    0.000 C:\Program Files\Python312\Lib\tkinter\__init__.py:2647(__init__)
     16/9    0.000    0.000    0.021    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
       17    0.000    0.000    0.021    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2403(_update_label_position)
       50    0.001    0.000    0.020    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\spines.py:142(get_window_extent)
     14/8    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap_external>:989(exec_module)
    52/13    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      990    0.012    0.000    0.020    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2579    0.003    0.000    0.020    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:814(from_extents)
        1    0.000    0.000    0.018    0.018 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:727(subplots)
        1    0.000    0.000    0.018    0.018 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\gridspec.py:249(subplots)
        1    0.000    0.000    0.018    0.018 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:586(add_subplot)
        1    0.000    0.000    0.018    0.018 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:564(__init__)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:463(__init__)
      499    0.003    0.000    0.017    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:299(_handler)
    16/10    0.000    0.000    0.017    0.002 {built-in method builtins.exec}
       16    0.000    0.000    0.017    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\PIL\ImageTk.py:99(__init__)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\pyplot.py:524(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.017    0.006 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\pyplot.py:348(_get_backend_mod)
      6/1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\pyplot.py:362(switch_backend)
       51    0.000    0.000    0.017    0.000 C:\Program Files\Python312\Lib\tkinter\ttk.py:506(__init__)
       13    0.016    0.001    0.016    0.001 {built-in method _io.open}
      372    0.002    0.000    0.016    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\lines.py:743(draw)
        1    0.000    0.000    0.016    0.016 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:1384(clear)
        1    0.000    0.000    0.016    0.016 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:1257(__clear)
        5    0.000    0.000    0.016    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\registry.py:308(load_backend_module)
        5    0.000    0.000    0.016    0.003 C:\Program Files\Python312\Lib\importlib\__init__.py:73(import_module)
        5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:1375(_gcd_import)
      904    0.003    0.000    0.016    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1173(_update_props)
      863    0.000    0.000    0.015    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1209(_internal_update)
      875    0.001    0.000    0.015    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1482(transform)
      150    0.001    0.000    0.014    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
        1    0.000    0.000    0.014    0.014 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:489(update_layout)
        1    0.013    0.013    0.014    0.014 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:504(_generate_layout)
3449/2633    0.001    0.000    0.013    0.000 {built-in method builtins.next}
      499    0.001    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\__init__.py:225(inner)
      204    0.000    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:2169(__call__)
     1284    0.002    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:782(_convert_units)
    28/18    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     11/8    0.000    0.000    0.013    0.002 {built-in method builtins.__import__}
      499    0.001    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:377(_handler)
     3703    0.003    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
       23    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
26191/26161    0.005    0.000    0.012    0.000 {built-in method builtins.getattr}
     5376    0.008    0.000    0.012    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:645(__hash__)
    68843    0.008    0.000    0.012    0.000 {built-in method builtins.isinstance}
     6880    0.005    0.000    0.012    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1899(__init__)
       23    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
       23    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
